id	name	aliases	charge	formula
DAHP_c0	DAHP_c0	KEGG:C04691;SEED:cpd02857	-2	C7H11O10P
5-Dehydroquinate_c0	5-Dehydroquinate_c0	KEGG:C00944;SEED:cpd00699	-1	C7H9O6
Phosphate_c0	Phosphate_c0	KEGG:C00009;SEED:cpd00009	-2	HO4P
2_5-Diaminopyrimidine_nucleoside_triphosphate_c0	2_5-Diaminopyrimidine_nucleoside_triphosphate_c0	KEGG:;SEED:cpd03519	-3	C9H15N5O14P3
Formamidopyrimidine_nucleoside_triphosphate_c0	Formamidopyrimidine_nucleoside_triphosphate_c0	KEGG:;SEED:cpd03518	-3	C10H15N5O15P3
Formate_c0	Formate_c0	KEGG:C00058;SEED:cpd00047	-1	CHO2
Tetrahydropteroyltri-L-glutamate_c0	Tetrahydropteroyltri-L-glutamate_c0	KEGG:C04144;SEED:cpd02555	-4	C29H33N9O12
5-Methyltetrahydropteroyltri-L-glutamate_c0	5-Methyltetrahydropteroyltri-L-glutamate_c0	KEGG:C04489;SEED:cpd02738	-4	C30H35N9O12
L-Malate_c0	L-Malate_c0	KEGG:C00711|C00149;SEED:cpd00130	-2	C4H4O5
Oxaloacetate_c0	Oxaloacetate_c0	KEGG:C00036;SEED:cpd00032	-2	C4H2O5
NADH_c0	NADH_c0	KEGG:C00004;SEED:cpd00004	-2	C21H27N7O14P2
NAD_c0	NAD_c0	KEGG:C00003;SEED:cpd00003	-1	C21H26N7O14P2
L-Aspartate4-semialdehyde_c0	L-Aspartate4-semialdehyde_c0	KEGG:C00441;SEED:cpd00346	0	C4H7NO3
L-Homoserine_c0	L-Homoserine_c0	KEGG:C00263;SEED:cpd00227	0	C4H9NO3
6-7-Dimethyl-8-1-D-ribityllumazine_c0	6-7-Dimethyl-8-1-D-ribityllumazine_c0	KEGG:;SEED:cpd02656	0	C13H18N4O6
4-1-D-Ribitylamino-5-aminouracil_c0	4-1-D-Ribitylamino-5-aminouracil_c0	KEGG:;SEED:cpd02882	0	C9H16N4O6
Riboflavin_c0	Riboflavin_c0	KEGG:C00255;SEED:cpd00220	0	C17H20N4O6
5'-Phosphoribosyl-4-carboxy-5-aminoimidazole_c0	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole_c0	KEGG:C04751;SEED:cpd02893	-1	C9H13N3O9P
ATP_c0	ATP_c0	KEGG:C00002;SEED:cpd00002	-3	C10H13N5O13P3
ADP_c0	ADP_c0	KEGG:C00008;SEED:cpd00008	-2	C10H13N5O10P2
AIR_c0	AIR_c0	KEGG:C03373;SEED:cpd02140	0	C8H14N3O7P
H2CO3_c0	H2CO3_c0	KEGG:C01353|C00288;SEED:cpd00242	-1	CHO3
gly-asp-L_c0	gly-asp-L_c0	KEGG:;SEED:cpd11589	-1	C6H9N2O5
L-Aspartate_c0	L-Aspartate_c0	KEGG:C00049|C16433;SEED:cpd00041	-1	C4H6NO4
Glycine_c0	Glycine_c0	KEGG:C00037;SEED:cpd00033	0	C2H5NO2
L-beta-Lysine_c0	L-beta-Lysine_c0	KEGG:C01142;SEED:cpd00840	1	C6H15N2O2
L-Lysine_c0	L-Lysine_c0	KEGG:C00047|C16440;SEED:cpd00039	1	C6H15N2O2
Cobalt-precorrin_5B_c0	Cobalt-precorrin_5B_c0	KEGG:;SEED:cpd14960	-6	C43H44CoN4O16
Cobalt-precorrin_5_c0	Cobalt-precorrin_5_c0	KEGG:;SEED:cpd08371	-5	C45H47CoN4O16
Acetaldehyde_c0	Acetaldehyde_c0	KEGG:C00084;SEED:cpd00071	0	C2H4O
3-Methyl-2-oxobutanoate_c0	3-Methyl-2-oxobutanoate_c0	KEGG:C00141;SEED:cpd00123	-1	C5H7O3
2-Isopropylmalate_c0	2-Isopropylmalate_c0	KEGG:C02504;SEED:cpd01646	-2	C7H10O5
H2S_c0	H2S_c0	KEGG:C00297|C00283;SEED:cpd00239	0	H2S
Dianteisopentadecanoylphosphatidylserine_c0	Dianteisopentadecanoylphosphatidylserine_c0	KEGG:;SEED:cpd15693	-2	C36H68NO10P
L-Serine_c0	L-Serine_c0	KEGG:C00716|C00065;SEED:cpd00054	0	C3H7NO3
CMP_c0	CMP_c0	KEGG:C00055;SEED:cpd00046	-1	C9H13N3O8P
CDP-1_2-dianteisopentadecanoylglycerol_c0	CDP-1_2-dianteisopentadecanoylglycerol_c0	KEGG:;SEED:cpd15687	-2	C42H75N3O15P2
Siroheme_c0	Siroheme_c0	KEGG:C00748;SEED:cpd00557	-8	C42H36FeN4O16
Sirohydrochlorin_c0	Sirohydrochlorin_c0	KEGG:C05778;SEED:cpd03426	-8	C42H38N4O16
Fe2_c0	Fe2_c0	KEGG:;SEED:cpd10515	2	Fe
Phosphoenolpyruvate_c0	Phosphoenolpyruvate_c0	KEGG:C00074;SEED:cpd00061	-2	C3H3O6P
2-Phospho-D-glycerate_c0	2-Phospho-D-glycerate_c0	KEGG:C00631;SEED:cpd00482	-2	C3H5O7P
1_2-diisohexadecanoyl-sn-glycerol_3-phosphate_c0	1_2-diisohexadecanoyl-sn-glycerol_3-phosphate_c0	KEGG:;SEED:cpd15682	-1	C35H68O8P
CDP-1_2-diisohexadecanoylglycerol_c0	CDP-1_2-diisohexadecanoylglycerol_c0	KEGG:;SEED:cpd15688	-2	C44H79N3O15P2
PPi_c0	PPi_c0	KEGG:C00013;SEED:cpd00012	-2	H2O7P2
CTP_c0	CTP_c0	KEGG:C00063;SEED:cpd00052	-3	C9H13N3O14P3
