reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn00541	0	HASCOMPLEXES	///kb|cpx.4 (0.0000; CPLX_NOTTHERE) 	
rxn02046	0	HASCOMPLEXES	///kb|cpx.1648 (0.0000; CPLX_NOTTHERE) 	
rxn00548	0	HASCOMPLEXES	///kb|cpx.1829 (0.0000; CPLX_NOTTHERE) 	
rxn00549	0.979360412045884	HASCOMPLEXES	///kb|cpx.1519 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1517 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1520 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1518 (0.9794; CPLX_FULL) 	fig|267377.1.peg.317
rxn02312	0.949155330600661	HASCOMPLEXES	///kb|cpx.1704 (0.9492; CPLX_FULL) 	fig|267377.1.peg.865
rxn02313	0	HASCOMPLEXES	///kb|cpx.455 (0.0000; CPLX_NOTTHERE) 	
rxn02314	0	HASCOMPLEXES	///kb|cpx.495 (0.0000; CPLX_NOTTHERE) ///kb|cpx.223 (0.0000; CPLX_NOTTHERE) 	
rxn02318	0	HASCOMPLEXES	///kb|cpx.422 (0.0000; CPLX_NOTTHERE) ///kb|cpx.421 (0.0000; CPLX_NOTTHERE) 	
rxn02319	0	HASCOMPLEXES	///kb|cpx.928 (0.0000; CPLX_NOTTHERE) 	
rxn01990	0	HASCOMPLEXES	///kb|cpx.916 (0.0000; CPLX_NOTTHERE) 	
rxn19042	0	HASCOMPLEXES	///kb|cpx.259 (0.0000; CPLX_NOTTHERE) 	
rxn19041	0	HASCOMPLEXES	///kb|cpx.259 (0.0000; CPLX_NOTTHERE) 	
rxn22149	0	HASCOMPLEXES	///kb|cpx.50652 (0.0000; CPLX_NOREPS) ///kb|cpx.51039 (0.0000; CPLX_NOREPS) ///kb|cpx.50482 (0.0000; CPLX_NOREPS) ///kb|cpx.50268 (0.0000; CPLX_NOREPS) ///kb|cpx.50638 (0.0000; CPLX_NOREPS) 	
rxn02959	0	HASCOMPLEXES	///kb|cpx.1304 (0.0000; CPLX_NOTTHERE) 	
rxn02226	0	HASCOMPLEXES	///kb|cpx.54 (0.0000; CPLX_NOTTHERE) ///kb|cpx.51308 (0.0000; CPLX_NOREPS) ///kb|cpx.53 (0.0000; CPLX_NOREPS) 	
rxn02227	0	HASCOMPLEXES	///kb|cpx.54 (0.0000; CPLX_NOTTHERE) ///kb|cpx.53 (0.0000; CPLX_NOREPS) 	
rxn02224	0	HASCOMPLEXES	///kb|cpx.54 (0.0000; CPLX_NOTTHERE) ///kb|cpx.53 (0.0000; CPLX_NOREPS) 	
rxn02222	0	HASCOMPLEXES	///kb|cpx.50436 (0.0000; CPLX_NOREPS) ///kb|cpx.1106 (0.0000; CPLX_NOTTHERE) ///kb|cpx.730 (0.0000; CPLX_NOTTHERE) 	
rxn28083	0	HASCOMPLEXES	///kb|cpx.51278 (0.0000; CPLX_NOREPS) 	
rxn02554	0	HASCOMPLEXES	///kb|cpx.50572 (0.0000; CPLX_NOREPS) 	
rxn10258	0	HASCOMPLEXES	///kb|cpx.181 (0.0000; CPLX_NOTTHERE) 	
rxn04657	0	HASCOMPLEXES	///kb|cpx.1271 (0.0000; CPLX_NOTTHERE) 	
rxn04656	0.170759533228765	HASCOMPLEXES	///kb|cpx.286 (0.1708; CPLX_FULL) 	(fig|267377.1.peg.702 or fig|267377.1.peg.1600)
rxn15362	0	NOCOMPLEXES		
rxn10253	0	HASCOMPLEXES	///kb|cpx.181 (0.0000; CPLX_NOTTHERE) 	
rxn04659	0	HASCOMPLEXES	///kb|cpx.14 (0.0000; CPLX_NOTTHERE) 	
rxn04658	0.00660689820004951	HASCOMPLEXES	///kb|cpx.1669 (0.0066; CPLX_FULL) 	fig|267377.1.peg.116
rxn10257	0	HASCOMPLEXES	///kb|cpx.181 (0.0000; CPLX_NOTTHERE) 	
rxn10256	0	HASCOMPLEXES	///kb|cpx.181 (0.0000; CPLX_NOTTHERE) 	
rxn15165	0	HASCOMPLEXES	///kb|cpx.50223 (0.0000; CPLX_NOREPS) 	
rxn15166	0	HASCOMPLEXES	///kb|cpx.1245 (0.0000; CPLX_NOTTHERE) 	
rxn06874	0.790277607108657	HASCOMPLEXES	///kb|cpx.1084 (0.6033; CPLX_FULL) ///kb|cpx.1088 (0.0480; CPLX_FULL) ///kb|cpx.1078 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1081 (0.0000; CPLX_NOTTHERE) ///kb|cpx.1085 (0.7903; CPLX_FULL) ///kb|cpx.1082 (0.1067; CPLX_FULL) ///kb|cpx.1086 (0.0850; CPLX_FULL) ///kb|cpx.1080 (0.0588; CPLX_FULL) ///kb|cpx.1087 (0.0729; CPLX_FULL) ///kb|cpx.1083 (0.5820; CPLX_FULL) 	(fig|267377.1.peg.853 or fig|267377.1.peg.147)
rxn03971	0	HASCOMPLEXES	///kb|cpx.50530 (0.0000; CPLX_NOREPS) 	
rxn03970	0	HASCOMPLEXES	///kb|cpx.50530 (0.0000; CPLX_NOREPS) 	
rxn23785	0	HASCOMPLEXES	///kb|cpx.50560 (0.0000; CPLX_NOREPS) ///kb|cpx.51255 (0.0000; CPLX_NOREPS) 	
rxn03974	0.0229976433294894	HASCOMPLEXES	///kb|cpx.1224 (0.0230; CPLX_FULL) 	fig|267377.1.peg.911
